name,alpha_two_code,country,web_pages
University of Prince Edward Island,CA,Canada,http://www.upei.ca/
Université du Québec à Chicoutimi,CA,Canada,http://www.uqac.ca/
Université du Québec à Montréal,CA,Canada,http://www.uqam.ca/
Université du Québec à Rimouski,CA,Canada,http://www.uqar.uquebec.ca/
Université du Québec en Abitibi-Témiscamingue,CA,Canada,http://www.uqat.uquebec.ca/
Université du Québec en Outaouais,CA,Canada,http://www.uqo.ca/
Université du Québec à Trois-Rivières,CA,Canada,http://www.uqtr.uquebec.ca/
University of Québec,CA,Canada,http://www.uquebec.ca/
University of Regina,CA,Canada,http://www.uregina.ca/
University of Saskatchewan,CA,Canada,http://www.usask.ca/
Université de Sherbrooke,CA,Canada,http://www.usherb.ca/
University of St. Jerome's College,CA,Canada,http://www.usjc.uwaterloo.ca/
St. Anne University,CA,Canada,http://www.ustanne.ednet.ns.ca/
University College of Saint-Boniface,CA,Canada,http://www.ustboniface.mb.ca/
St. Paul University,CA,Canada,http://www.ustpaul.ca/
University of Sudbury,CA,Canada,http://www.usudbury.com/
"University of Toronto, Mississauga",CA,Canada,http://www.utm.utoronto.ca/
University of Toronto,CA,Canada,http://www.utoronto.ca/
University of Victoria,CA,Canada,http://www.uvic.ca/
University of Waterloo,CA,Canada,http://www.uwaterloo.ca/
University of Windsor,CA,Canada,http://www.uwindsor.ca/
University of Winnipeg,CA,Canada,http://www.uwinnipeg.ca/
University of Western Ontario,CA,Canada,http://www.uwo.ca/
Vancouver Community College,CA,Canada,http://www.vcc.ca/
"Victoria University Toronto, University of Toronto",CA,Canada,http://vicu.utoronto.ca/
Wilfrid Laurier University,CA,Canada,http://www.wlu.ca/
York University,CA,Canada,http://www.yorku.ca/
Yukon College,CA,Canada,http://www.yukoncollege.yk.ca/
Mohawk College,CA,Canada,https://www.mohawkcollege.ca/
College of Bois-de-Boulogne,CA,Canada,https://www.bdeb.qc.ca/
Fanshawe College,CA,Canada,https://www.fanshawec.ca/
Vanier College,CA,Canada,https://www.vaniercollege.qc.ca/
Ontario Tech University,CA,Canada,https://ontariotechu.ca/
Toronto Metropolitan University,CA,Canada,https://www.torontomu.ca/
Collège Universel Gatineau,CA,Canada,https://collegeuniversel.ca/
Cambrian College,CA,Canada,https://cambriancollege.ca/
